                              Test Case ID Description        Status  ... Created Date Last Updated Date Predicted Priority
TC054                 Blocking other users      Medium  To Be Tested  ...           53                53                Low
TC055               Unblocking other users         Low  To Be Tested  ...           54                54             Medium
TC056               Multi-language support      Medium  To Be Tested  ...           55                55             Medium
TC057  Responsive design on mobile devices        High  To Be Tested  ...           56                56               High
TC058                  Exporting user data      Medium  To Be Tested  ...           57                57             Medium
TC059                  Importing user data         Low  To Be Tested  ...           58                58             Medium
TC060     Test SQL Injection vulnerability        High  To Be Tested  ...           59                59               High
TC061               Test XSS vulnerability        High  To Be Tested  ...           60                60             Medium
TC062             Test password complexity      Medium  To Be Tested  ...           61                61             Medium
TC063  Test user role change functionality      Medium  To Be Tested  ...           62                62             Medium

[10 rows x 12 columns]
